주소,경도,위도,지역,휘발유,경유
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1695,1496
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1695,1517
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1717,1527
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1717,1546
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1734,1556
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1767,1593
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1796,1624
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1917,1735
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1917,1775
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1925,1792
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1943,1792
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1996,1792
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1975,1829
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1959,1829
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1939,1829
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1939,1859
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1939,1886
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1936,1886
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1926,1886
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1926,1876
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1916,1876
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1894,1857
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1894,1866
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1868,1866
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1868,1897
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1892,1913
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1892,1924
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1926,1924
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1933,1935
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1943,1935
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1963,1943
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1986,1956
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1993,1963
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1998,1984
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1998,1994
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,2013,1994
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,2033,2033
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,2033,2043
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,2056,2077
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,2076,2077
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,2076,2097
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,2097,2117
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,2129,2127
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,2097,2127
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,2076,2117
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,2054,2117
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,2054,2085
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1995,2068
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1987,2068
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1962,2053
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1945,2033
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1912,1992
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1877,1944
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1839,1923
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1787,1887
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1782,1882
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1778,1878
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1762,1868
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1742,1859
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1738,1859
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1733,1859
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1728,1859
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1694,1859
부산 부산진구 가야대로 402,129.016910, 35.1514817 ,부산 부산진구,1694,1847
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,1638,1498
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,1658,1518
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,1678,1518
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,1698,1538
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,1758,1598
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,1898,1788
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,1978,1878
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,2078,1998
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,1989,1888
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,1989,1938
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,1948,1868
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,1928,1848
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,1948,1888
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,1888,1888
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,1928,1958
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,1988,1958
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,2018,1998
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,2038,2048
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,2088,2098
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,2128,2138
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,2098,2118
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,2059,2078
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,1988,2058
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,1928,1998
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,1888,1958
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,1868,1938
부산 남구 신선로 448 (용당동),129.100468, 35.1248122,부산 남구,1798,1898
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1668,1498
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1678,1518
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1688,1528
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1698,1538
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1718,1538
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1718,1548
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1728,1558
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1768,1598
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1768,1628
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1818,1628
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1925,1795
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1938,1818
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1955,1825
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1998,1898
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1978,1858
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1968,1858
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1988,1878
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1968,1868
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1958,1858
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1934,1858
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1914,1838
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1898,1819
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1898,1829
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1898,1839
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1908,1848
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1908,1858
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1918,1868
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1858,1858
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1858,1868
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1878,1878
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1898,1898
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1918,1918
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1928,1928
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1928,1938
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1938,1938
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1958,1958
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1968,1958
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1978,1968
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1988,1978
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1998,1978
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1998,1988
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1998,1998
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,2018,2018
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,2038,2048
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,2048,2058
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,2058,2068
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,2068,2078
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,2078,2088
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,2088,2108
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,2098,2118
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,2058,2088
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,2028,2088
부산 강서구 생곡로 40 (녹산동),128.897647, 35.1248039,부산 강서구,1998,2088
